baseline,horizon_frames,schedule_id,M0,M1,M2,M3,M4,macro_M0-M4,n_observed
chained_lap,33,s1,0.8885916317190997,0.899118444597358,0.8877655399863243,0.893176324186147,0.8939258121464831,0.8925155505270824,34
chained_lap,33,s2,0.8647645058998945,0.8724368413093044,0.8529381943921114,0.8667827699768097,0.8728610832029595,0.865956678956216,18
chained_lap,33,s4,0.8071799642847199,0.8198438316628147,0.7988182109150024,0.8161228707143573,0.812913202265656,0.81097561596851,10
chained_lap,33,s8,0.7212409504159474,0.737804191972648,0.7067710607879332,0.7239936431369827,0.7345559227202204,0.7248731538067463,6
chained_lap,33,s16,0.618627128579384,0.6316414386377004,0.6043476884561675,0.6217050922588597,0.6342156559364683,0.622107400773716,4
chained_lap,33,s32,0.5612295511824965,0.5823009079188488,0.5327703382376768,0.553397051651082,0.5857248734708348,0.5630845444921878,3
chained_lap,33,ends,0.5576003295022679,0.5767824457050302,0.5260249981539887,0.5371587599370892,0.5787363496070631,0.5552605765810877,2
chained_lap,33,rand1,0.5905827159381272,0.6055148692724821,0.5727926129040296,0.5927321811118383,0.6185523508887689,0.5960349460230492,3
chained_lap,33,rand3,0.6376882646576171,0.6571258992065895,0.6431833735399253,0.6709216421929625,0.6890449717911458,0.659592830277648,5
chained_lap,66,s1,0.8120010771242506,0.8288510348624358,0.8211404666587412,0.8222554037113068,0.8213142728032681,0.8211124510320005,67
chained_lap,66,s2,0.7830164138246026,0.7974112042952013,0.777771257616559,0.7860864788773481,0.7907340430410099,0.7870038795309442,34
chained_lap,66,s4,0.7145514287480743,0.7323078068524806,0.7138247660955839,0.7285896441429105,0.7235148906291808,0.7225577072936461,18
chained_lap,66,s8,0.6185402470614974,0.6420682068536183,0.609419391899566,0.6166878218748759,0.6430538142116788,0.6259538963802473,10
chained_lap,66,s16,0.5061505249066913,0.5338353716088232,0.5132386320666803,0.5110443347984591,0.532974918346682,0.5194487563454672,6
chained_lap,66,s32,0.4407582126303749,0.47095219877401845,0.43910771098767676,0.4250100396343819,0.4792784193089048,0.45102131626707137,4
chained_lap,66,s64,0.5047348752598189,0.5101364621562181,0.4763216769271809,0.4896400216600524,0.5269012576893631,0.5015468587385267,3
chained_lap,66,ends,0.49263982082369545,0.5146783332988184,0.4774401766118571,0.4936477336168695,0.5222187934960868,0.5001249715694654,2
chained_lap,66,rand1,0.42698892579712083,0.4972490880483035,0.45419864243807306,0.45949310515444053,0.4961233835881079,0.46681062900520914,3
chained_lap,66,rand3,0.45653318175153906,0.5013464263293004,0.47665908248961925,0.4655496264953545,0.5022081347347065,0.4804592903601039,5
chained_lap,132,s1,0.7043809606094406,0.7188130476739885,0.7242461505023249,0.7071547700421363,0.7128105244009626,0.7134810906457705,133
chained_lap,132,s2,0.6747867128485724,0.6830539407261265,0.6750030519422825,0.6741421186485157,0.6773357545867523,0.6768643157504499,67
chained_lap,132,s4,0.5955230652452729,0.6124268951511896,0.6026267998078974,0.5982791000745623,0.612551958505291,0.6042815637568426,34
chained_lap,132,s8,0.5025597464518894,0.5182526576289107,0.5064936605860014,0.4871866364096666,0.5279830725507771,0.508495154725449,18
chained_lap,132,s16,0.3956475688014863,0.4297041733217699,0.4197891467388572,0.3940144821279697,0.4171932295650593,0.41126972011102847,10
chained_lap,132,s32,0.33579249165382236,0.3727234260236031,0.35068288586941376,0.3095372324840535,0.3812556708960413,0.34999834138538677,6
chained_lap,132,s64,0.38346645725284684,0.37982225785476775,0.362487972785983,0.35900833386576286,0.4067504718811017,0.37830709872809243,4
chained_lap,132,s128,0.2478207079139046,0.271856874471389,0.27226135834064874,0.2605950779493963,0.27080636089873844,0.2646680759148154,3
chained_lap,132,ends,0.23994432339570615,0.2739865739755651,0.2695508921860372,0.250445014428293,0.2717493726780489,0.2611352353327301,2
chained_lap,132,rand1,0.27054113096701043,0.2949975772681856,0.30754846731165947,0.296812175965583,0.3101411641781063,0.29600810313810894,3
chained_lap,132,rand3,0.3126350724460265,0.37908518614066505,0.3409010982134725,0.3202710928073771,0.35514712662377035,0.3416079152462623,5
chained_lap_rc,33,s1,0.8807992242478853,0.9036872534361378,0.8780277334676605,0.8707563071958477,0.8827764254123135,0.8832093887519689,34
chained_lap_rc,33,s2,0.8500355642531321,0.8810772231114831,0.8404946441807333,0.843706257234244,0.8646649000392006,0.8559957177637587,18
chained_lap_rc,33,s4,0.8155494837359436,0.8389642292622252,0.788924069247046,0.7982791671179068,0.8095482403919496,0.8102530379510142,10
chained_lap_rc,33,s8,0.7672571070340077,0.773241842094286,0.7135513122378548,0.7180301017140727,0.7278514223300124,0.7399863570820467,6
chained_lap_rc,33,s16,0.6835454398865393,0.6999256589338346,0.6199645599308562,0.6468887652813919,0.6089420426842455,0.6518532933433734,4
chained_lap_rc,33,s32,0.6378906948096674,0.6665232436735287,0.5775512478657424,0.5861157591409263,0.5429225464658342,0.6022006983911398,3
chained_lap_rc,33,ends,0.6171479289115104,0.6669416027865693,0.5718067359709681,0.5779808398510153,0.5376964356625548,0.5943147086365236,2
chained_lap_rc,33,rand1,0.6547397695786714,0.6808014996094165,0.6069368485773629,0.6282373197418325,0.5722527918626434,0.6285936458739853,3
chained_lap_rc,33,rand3,0.699891877122191,0.7261489223696574,0.6593243959242,0.6729697334724613,0.6651250024974223,0.6846919862771864,5
chained_lap_rc,66,s1,0.805042514798751,0.8371234861449508,0.8045575629586388,0.7888228796539539,0.8014082483242192,0.8073909383761027,67
