cell_cycle_median_frames,cell_cycle_iqr_frames,n_cycles,horizons_frames,deltas_frames,a_step_frames,min_anchors,cycle_source_splits
66,"[60.0, 72.0]",8921,"[33, 66, 132]","[1, 2, 4, 8, 16, 32, 64, 128, 256]",33,8,['train']
57,"[54.0, 58.0]",36,"[28, 57, 114]","[1, 2, 4, 8, 16, 32, 64, 128]",28,8,['sanity']
478,"[457.25, 489.25]",10,"[239, 478, 956]","[1, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024]",239,8,['domain_adapt']
110,"[92.0, 117.0]",19,"[55, 110, 220]","[1, 2, 4, 8, 16, 32, 64, 128, 256]",55,8,['domain_adapt']
38,"[35.0, 44.25]",56,"[19, 38, 76]","[1, 2, 4, 8, 16, 32, 64, 128]",19,8,['domain_adapt']
