baseline,horizon_frames,schedule_id,count_MAE
nearest_anchor,33,ends,0.8219022990982452
nearest_anchor,33,rand1,0.8219022990982452
nearest_anchor,33,rand3,0.8219022990982452
nearest_anchor,66,s1,1.3967898307599236
nearest_anchor,66,s2,1.3967898307599236
nearest_anchor,66,s4,1.3967898307599236
nearest_anchor,66,s8,1.3967898307599236
nearest_anchor,66,s16,1.3967898307599236
nearest_anchor,66,s32,1.3967898307599236
nearest_anchor,66,s64,1.3967898307599236
nearest_anchor,66,ends,1.3967898307599236
nearest_anchor,66,rand1,1.3967898307599236
nearest_anchor,66,rand3,1.3967898307599236
nearest_anchor,132,s1,3.3824265270829685
nearest_anchor,132,s2,3.3824265270829685
nearest_anchor,132,s4,3.3824265270829685
nearest_anchor,132,s8,3.3824265270829685
nearest_anchor,132,s16,3.3824265270829685
nearest_anchor,132,s32,3.3824265270829685
nearest_anchor,132,s64,3.3824265270829685
nearest_anchor,132,s128,3.3824265270829685
nearest_anchor,132,ends,3.3824265270829685
nearest_anchor,132,rand1,3.3824265270829685
nearest_anchor,132,rand3,3.3824265270829685
nearest_anchor_rc,33,s1,0.6602319803079817
nearest_anchor_rc,33,s2,0.6602319803079817
nearest_anchor_rc,33,s4,0.6602319803079817
nearest_anchor_rc,33,s8,0.6602319803079817
nearest_anchor_rc,33,s16,0.6602319803079817
nearest_anchor_rc,33,s32,0.6602319803079817
nearest_anchor_rc,33,ends,0.6602319803079817
nearest_anchor_rc,33,rand1,0.6602319803079817
nearest_anchor_rc,33,rand3,0.6602319803079817
nearest_anchor_rc,66,s1,0.8848200472711957
nearest_anchor_rc,66,s2,0.8848200472711957
nearest_anchor_rc,66,s4,0.8848200472711957
nearest_anchor_rc,66,s8,0.8848200472711957
nearest_anchor_rc,66,s16,0.8848200472711957
nearest_anchor_rc,66,s32,0.8848200472711957
nearest_anchor_rc,66,s64,0.8848200472711957
nearest_anchor_rc,66,ends,0.8848200472711957
nearest_anchor_rc,66,rand1,0.8848200472711957
nearest_anchor_rc,66,rand3,0.8848200472711957
nearest_anchor_rc,132,s1,1.6424001016423175
nearest_anchor_rc,132,s2,1.6424001016423175
nearest_anchor_rc,132,s4,1.6424001016423175
nearest_anchor_rc,132,s8,1.6424001016423175
nearest_anchor_rc,132,s16,1.6424001016423175
nearest_anchor_rc,132,s32,1.6424001016423175
nearest_anchor_rc,132,s64,1.6424001016423175
nearest_anchor_rc,132,s128,1.6424001016423175
nearest_anchor_rc,132,ends,1.6424001016423175
nearest_anchor_rc,132,rand1,1.6424001016423175
nearest_anchor_rc,132,rand3,1.6424001016423175
