baseline,schedule_id,depth,acc,n
chained_nearest,s128,1,0.16767704579629344,3317
chained_nearest,s128,2,0.09587376804852586,35643
chained_nearest,s128,3,0.03842764390709131,3606
chained_nearest,ends,0,0.05555555555555555,11
chained_nearest,ends,1,0.16420020049332157,3317
chained_nearest,ends,2,0.09414023882558371,35643
chained_nearest,ends,3,0.03571142157148241,3606
chained_nearest,rand1,0,0.05555555555555555,11
chained_nearest,rand1,1,0.16224597319618977,3317
chained_nearest,rand1,2,0.09580027900704158,35643
chained_nearest,rand1,3,0.0356270635442123,3606
chained_nearest,rand3,0,0.0,11
chained_nearest,rand3,1,0.1817750471837865,3317
chained_nearest,rand3,2,0.10271062174597918,35643
chained_nearest,rand3,3,0.041216722306634104,3606
chained_nearest_rc,s1,0,1.0,11
chained_nearest_rc,s1,1,0.7693040278907796,3317
chained_nearest_rc,s1,2,0.5819971371274504,35643
chained_nearest_rc,s1,3,0.38919295059929404,3606
chained_nearest_rc,s2,0,1.0,11
chained_nearest_rc,s2,1,0.7249175115242781,3317
chained_nearest_rc,s2,2,0.5180932728913288,35643
chained_nearest_rc,s2,3,0.31546444591661865,3606
chained_nearest_rc,s4,0,0.8888888888888888,11
chained_nearest_rc,s4,1,0.6318057449976757,3317
chained_nearest_rc,s4,2,0.3980450129549585,35643
chained_nearest_rc,s4,3,0.20760180185033933,3606
chained_nearest_rc,s8,0,0.7222222222222222,11
chained_nearest_rc,s8,1,0.47948727549831405,3317
chained_nearest_rc,s8,2,0.2579978000153368,35643
chained_nearest_rc,s8,3,0.10348728349992956,3606
chained_nearest_rc,s16,0,0.05555555555555555,11
chained_nearest_rc,s16,1,0.34394306979854583,3317
chained_nearest_rc,s16,2,0.16810706618556281,35643
chained_nearest_rc,s16,3,0.05208153363538872,3606
chained_nearest_rc,s32,0,0.05555555555555555,11
chained_nearest_rc,s32,1,0.27968510606104185,3317
chained_nearest_rc,s32,2,0.13862957145066387,35643
chained_nearest_rc,s32,3,0.044555949575064785,3606
chained_nearest_rc,s64,0,0.0,11
chained_nearest_rc,s64,1,0.28150128426223076,3317
chained_nearest_rc,s64,2,0.14009341630362887,35643
chained_nearest_rc,s64,3,0.04650723465500867,3606
chained_nearest_rc,s128,0,0.0,11
chained_nearest_rc,s128,1,0.2871501084206361,3317
chained_nearest_rc,s128,2,0.1462655765342876,35643
chained_nearest_rc,s128,3,0.049785161731192504,3606
chained_nearest_rc,ends,0,0.0,11
chained_nearest_rc,ends,1,0.2835192874050103,3317
chained_nearest_rc,ends,2,0.1433202231017914,35643
chained_nearest_rc,ends,3,0.052249720039596936,3606
chained_nearest_rc,rand1,0,0.0,11
chained_nearest_rc,rand1,1,0.2884997141249433,3317
chained_nearest_rc,rand1,2,0.13933925076828838,35643
chained_nearest_rc,rand1,3,0.049765459855308,3606
chained_nearest_rc,rand3,0,0.0,11
chained_nearest_rc,rand3,1,0.2969995377200777,3317
chained_nearest_rc,rand3,2,0.14147550732371866,35643
chained_nearest_rc,rand3,3,0.04918121716125818,3606
nearest_anchor,s1,0,0.05555555555555555,11
nearest_anchor,s1,1,0.16420020049332157,3317
nearest_anchor,s1,2,0.09414023882558371,35643
nearest_anchor,s1,3,0.03571142157148241,3606
nearest_anchor,s2,0,0.05555555555555555,11
nearest_anchor,s2,1,0.16420020049332157,3317
nearest_anchor,s2,2,0.09414023882558371,35643
nearest_anchor,s2,3,0.03571142157148241,3606
nearest_anchor,s4,0,0.05555555555555555,11
nearest_anchor,s4,1,0.16420020049332157,3317
nearest_anchor,s4,2,0.09414023882558371,35643
nearest_anchor,s4,3,0.03571142157148241,3606
nearest_anchor,s8,0,0.05555555555555555,11
nearest_anchor,s8,1,0.16420020049332157,3317
nearest_anchor,s8,2,0.09414023882558371,35643
nearest_anchor,s8,3,0.03571142157148241,3606
nearest_anchor,s16,0,0.05555555555555555,11
nearest_anchor,s16,1,0.16420020049332157,3317
nearest_anchor,s16,2,0.09414023882558371,35643
nearest_anchor,s16,3,0.03571142157148241,3606
nearest_anchor,s32,0,0.05555555555555555,11
nearest_anchor,s32,1,0.16420020049332157,3317
nearest_anchor,s32,2,0.09414023882558371,35643
nearest_anchor,s32,3,0.03571142157148241,3606
nearest_anchor,s64,0,0.05555555555555555,11
nearest_anchor,s64,1,0.16420020049332157,3317
nearest_anchor,s64,2,0.09414023882558371,35643
nearest_anchor,s64,3,0.03571142157148241,3606
nearest_anchor,s128,0,0.05555555555555555,11
nearest_anchor,s128,1,0.16420020049332157,3317
nearest_anchor,s128,2,0.09414023882558371,35643
nearest_anchor,s128,3,0.03571142157148241,3606
nearest_anchor,ends,0,0.05555555555555555,11
nearest_anchor,ends,1,0.16420020049332157,3317
nearest_anchor,ends,2,0.09414023882558371,35643
nearest_anchor,ends,3,0.03571142157148241,3606
nearest_anchor,rand1,0,0.05555555555555555,11
nearest_anchor,rand1,1,0.16420020049332157,3317
nearest_anchor,rand1,2,0.09414023882558371,35643
nearest_anchor,rand1,3,0.03571142157148241,3606
nearest_anchor,rand3,0,0.05555555555555555,11
nearest_anchor,rand3,1,0.16420020049332157,3317
nearest_anchor,rand3,2,0.09414023882558371,35643
nearest_anchor,rand3,3,0.03571142157148241,3606
nearest_anchor_rc,s1,0,0.0,11
nearest_anchor_rc,s1,1,0.2835192874050103,3317
nearest_anchor_rc,s1,2,0.1433202231017914,35643
nearest_anchor_rc,s1,3,0.052249720039596936,3606
nearest_anchor_rc,s2,0,0.0,11
nearest_anchor_rc,s2,1,0.2835192874050103,3317
nearest_anchor_rc,s2,2,0.1433202231017914,35643
nearest_anchor_rc,s2,3,0.052249720039596936,3606
nearest_anchor_rc,s4,0,0.0,11
nearest_anchor_rc,s4,1,0.2835192874050103,3317
nearest_anchor_rc,s4,2,0.1433202231017914,35643
nearest_anchor_rc,s4,3,0.052249720039596936,3606
nearest_anchor_rc,s8,0,0.0,11
nearest_anchor_rc,s8,1,0.2835192874050103,3317
nearest_anchor_rc,s8,2,0.1433202231017914,35643
nearest_anchor_rc,s8,3,0.052249720039596936,3606
nearest_anchor_rc,s16,0,0.0,11
nearest_anchor_rc,s16,1,0.2835192874050103,3317
nearest_anchor_rc,s16,2,0.1433202231017914,35643
nearest_anchor_rc,s16,3,0.052249720039596936,3606
nearest_anchor_rc,s32,0,0.0,11
nearest_anchor_rc,s32,1,0.2835192874050103,3317
nearest_anchor_rc,s32,2,0.1433202231017914,35643
