dataset,split,baseline,schedule_id,sequence_id,acc,windows,n
musc,domain_test,nearest_anchor,s1,MuSC-02,0.16507936507936508,5,67
musc,domain_test,nearest_anchor_rc,ends,MuSC-02,0.14317460317460318,5,67
musc,domain_test,nearest_anchor_rc,s1,MuSC-02,0.14317460317460318,5,67
one_in_a_million,test,chained_lap,ends,M4,0.5222187934960868,18,7287
one_in_a_million,test,chained_lap,s1,M4,0.8213142728032681,18,7287
one_in_a_million,test,chained_lap_rc,ends,M4,0.5022288332501431,18,7287
one_in_a_million,test,chained_lap_rc,s1,M4,0.8014082483242192,18,7287
one_in_a_million,test,chained_nearest,ends,M4,0.37817284044309446,18,7287
one_in_a_million,test,chained_nearest,s1,M4,0.8087884005169693,18,7287
one_in_a_million,test,chained_nearest_rc,ends,M4,0.4790940371091276,18,7287
one_in_a_million,test,chained_nearest_rc,s1,M4,0.7883105135622566,18,7287
one_in_a_million,test,nearest_anchor,ends,M4,0.37817284044309446,18,7287
one_in_a_million,test,nearest_anchor,s1,M4,0.37817284044309446,18,7287
one_in_a_million,test,nearest_anchor_rc,ends,M4,0.4790940371091276,18,7287
one_in_a_million,test,nearest_anchor_rc,s1,M4,0.4790940371091276,18,7287
one_in_a_million,train,chained_lap,ends,M0,0.49263982082369545,18,7736
one_in_a_million,train,chained_lap,ends,M1,0.5146783332988184,19,8521
one_in_a_million,train,chained_lap,ends,M2,0.4774401766118571,21,10656
one_in_a_million,train,chained_lap,s1,M0,0.8120010771242506,18,7736
one_in_a_million,train,chained_lap,s1,M1,0.8288510348624358,19,8521
one_in_a_million,train,chained_lap,s1,M2,0.8211404666587412,21,10656
one_in_a_million,train,chained_lap_rc,ends,M0,0.4874742764825288,18,7736
one_in_a_million,train,chained_lap_rc,ends,M1,0.5266288334940306,19,8521
one_in_a_million,train,chained_lap_rc,ends,M2,0.46517344967659013,21,10656
one_in_a_million,train,chained_lap_rc,s1,M0,0.805042514798751,18,7736
one_in_a_million,train,chained_lap_rc,s1,M1,0.8371234861449508,19,8521
one_in_a_million,train,chained_lap_rc,s1,M2,0.8045575629586388,21,10656
one_in_a_million,train,chained_nearest,ends,M0,0.32808796895155307,18,7736
one_in_a_million,train,chained_nearest,ends,M1,0.3638006250157451,19,8521
one_in_a_million,train,chained_nearest,ends,M2,0.34640031025845996,21,10656
one_in_a_million,train,chained_nearest,s1,M0,0.798605429156432,18,7736
one_in_a_million,train,chained_nearest,s1,M1,0.8200438599923485,19,8521
one_in_a_million,train,chained_nearest,s1,M2,0.8070024488957903,21,10656
one_in_a_million,train,chained_nearest_rc,ends,M0,0.4836480665670875,18,7736
one_in_a_million,train,chained_nearest_rc,ends,M1,0.5123556878439176,19,8521
one_in_a_million,train,chained_nearest_rc,ends,M2,0.46496876343206467,21,10656
one_in_a_million,train,chained_nearest_rc,s1,M0,0.7904753505164933,18,7736
one_in_a_million,train,chained_nearest_rc,s1,M1,0.8307087497881521,19,8521
one_in_a_million,train,chained_nearest_rc,s1,M2,0.7899969045417754,21,10656
one_in_a_million,train,nearest_anchor,ends,M0,0.32808796895155307,18,7736
one_in_a_million,train,nearest_anchor,ends,M1,0.3638006250157451,19,8521
one_in_a_million,train,nearest_anchor,ends,M2,0.34640031025845996,21,10656
one_in_a_million,train,nearest_anchor,s1,M0,0.32808796895155307,18,7736
one_in_a_million,train,nearest_anchor,s1,M1,0.3638006250157451,19,8521
one_in_a_million,train,nearest_anchor,s1,M2,0.34640031025845996,21,10656
